link_num,string,link,date,date_sent,clicks
6,Use Legal Knowledge Good,https://activategood.org/opportunity/4054#tab-what,01/02/19,01/02/19 07:03:48,4
7,Miracle League Triangle,https://activategood.org/opportunity/4313#tab-what,01/02/19,01/02/19 07:03:48,10
8,NC Therapeutic Riding Center,https://activategood.org/opportunity/4315#tab-what,01/02/19,01/02/19 07:03:48,33
9,Free Food Fridays Salvation Army,https://activategood.org/opportunity/3963#tab-what,01/02/19,01/02/19 07:03:48,21
11,Distribute Warmth Wake,https://activategood.org/opportunity/432#tab-what,01/02/19,01/02/19 07:03:48,22
12,Deliver Grocery Bags Seniors Durham,https://activategood.org/opportunity/4304#tab-what,01/02/19,01/02/19 07:03:48,25
11,September 20 Pepper Fest,https://activategood.org/opportunity/5053,09/16/20,09/16/20 07:50:19,30
12,Safe InPerson Family ,https://activategood.org/opportunity/5247,09/16/20,09/16/20 07:50:19,42
9,Triangle Golf Tournament Event Volunteer,https://activategood.org/opportunity/5348#tab-what,10/07/20,10/07/20 07:12:19,40
11,Warehouse Pantry Volunteer,https://activategood.org/opportunity/5316#tab-what,10/07/20,10/07/20 07:12:19,45
22,Food Pantry Distribution Set,https://activategood.org/opportunity/5251,08/19/20,08/19/20 07:05:32,30
23,Movers ,https://activategood.org/opportunity/5253,08/19/20,08/19/20 07:05:32,14
25,Social Media Volunteer ,https://activategood.org/opportunity/5260#tab-what,08/19/20,08/19/20 07:05:32,25
9,Host Family,https://activategood.org/opportunity/4502#tab-what,08/05/19,08/05/19 07:50:06,9
11,Childcare Volunteer,https://activategood.org/opportunity/4756#tab-what,08/05/19,08/05/19 07:50:06,7
12,Women Center Wake County,https://activategood.org/opportunity/4631#tab-what,08/05/19,08/05/19 07:50:06,8
13,Monthly Adoption Event,https://activategood.org/opportunity/4563#tab-what,08/05/19,08/05/19 07:50:06,11
14,Gardening Wildwoods,https://activategood.org/opportunity/3884#tab-what,08/05/19,08/05/19 07:50:06,6
15,Family Fun Night,https://activategood.org/opportunity/4741#tab-what,08/05/19,08/05/19 07:50:06,5
16,August Orientation,https://activategood.org/opportunity/4603#tab-what,08/05/19,08/05/19 07:50:06,5
17,Survey Interceptor,https://activategood.org/opportunity/4748,08/05/19,08/05/19 07:50:06,3
14,Be Holiday Hero,https://activategood.org/opportunity/5411,12/09/20,12/09/20 08:40:43,45
16,Provide Christmas Items Over 7000 ,https://activategood.org/opportunity/5407,12/09/20,12/09/20 08:40:43,49
16,Create ,https://activategood.org/opportunity/5386,11/04/20,11/04/20 08:22:27,27
17,Volunteer Workdays Horses Hope,https://activategood.org/opportunity/5373,11/04/20,11/04/20 08:22:27,59
18,Habitat ReStore ,https://activategood.org/opportunity/3980,11/04/20,11/04/20 08:22:27,31
26,August 29  Stock Food Families Need,https://activategood.org/opportunity/5264,08/26/20,08/26/20 07:05:49,38
27,Virtual Give BOOST,https://activategood.org/opportunity/5233,08/26/20,08/26/20 07:05:49,27
28,August 26 29 Fight Hunger Food Bank,https://activategood.org/opportunity/5163,08/26/20,08/26/20 07:05:49,30
6,Help Feed Hungry Kids,https://activategood.org/opportunity/5398,12/02/20,12/02/20 09:03:18,156
9,REMOTE  Create Cards Men Shelters,https://activategood.org/opportunity/5416,12/02/20,12/02/20 09:03:18,109
16,Aug 15 Book Bag Drive Thru,https://activategood.org/opportunity/5250,08/12/20,08/12/20 07:30:47,40
18,Aug 15 Pantry Makeover,https://activategood.org/opportunity/5236,08/12/20,08/12/20 07:30:47,21
8,Website Updates,https://activategood.org/opportunity/4472,03/17/20,03/17/20 13:58:30,38
9,Courage Cards,https://activategood.org/opportunity/4146,03/17/20,03/17/20 13:58:30,39
11,Virtual Ambassadors,https://activategood.org/opportunity/5124,03/17/20,03/17/20 13:58:30,33
12,Deliver Note Pocket,https://activategood.org/opportunity/5127,03/17/20,03/17/20 13:58:30,33
13,Grant Research,https://activategood.org/opportunity/5103,03/17/20,03/17/20 13:58:30,37
9,Write Courage Cards Spanish,https://activategood.org/opportunity/5193,07/08/20,07/08/20 06:51:04,38
11,July 12 Grow Garden Group,https://activategood.org/opportunity/5188,07/08/20,07/08/20 06:51:04,26
17,Join Board,https://activategood.org/opportunity/4845#tab-what,12/03/19,12/03/19 08:53:03,25
18,Social Media Volunteer,https://activategood.org/opportunity/4817#tab-what,12/03/19,12/03/19 08:53:03,17
19,Festival Merchandiser,https://activategood.org/opportunity/4932#tab-details,12/03/19,12/03/19 08:53:03,22
21,Volunteer Admin Assistant,https://activategood.org/opportunity/4945#tab-what,12/03/19,12/03/19 08:53:03,24
22,Warmth Wake,https://activategood.org/opportunity/432#tab-what,12/03/19,12/03/19 08:53:03,23
23,Donation Sorting,https://activategood.org/opportunity/4917#tab-what,12/03/19,12/03/19 08:53:03,30
24,Garden Work Day,https://activategood.org/opportunity/4946#tab-what,12/03/19,12/03/19 08:53:03,23
25,Youth Tournament,https://activategood.org/opportunity/4944#tab-what,12/03/19,12/03/19 08:53:03,21
15,Recycle Coordinator,https://activategood.org/opportunity/4437#tab-what,07/08/19,07/08/19 06:51:25,14
16,Farm Days,https://activategood.org/opportunity/3329#tab-what,07/08/19,07/08/19 06:51:25,10
17,Art Teaching Assistant,https://activategood.org/opportunity/614#tab-what,07/08/19,07/08/19 06:51:25,6
18,Puppy Time,https://activategood.org/opportunity/4563#tab-what,07/08/19,07/08/19 06:51:25,27
19,Shelter Sorting,https://activategood.org/opportunity/4631#tab-shifts,07/08/19,07/08/19 06:51:25,22
21,Women Theatre Festival,https://activategood.org/opportunity/4568#tab-what,07/08/19,07/08/19 06:51:25,16
22,Crosby Community Day,https://activategood.org/opportunity/4605#tab-what,07/08/19,07/08/19 06:51:25,11
23,iCan Bike Camp,https://activategood.org/opportunity/4663#tab-what,07/08/19,07/08/19 06:51:25,17
7,﻿Update ,https://activategood.org/opportunity/5199,07/21/20,07/21/20 07:05:50,43
9,﻿Grab Go Read,https://activategood.org/opportunity/5219,07/21/20,07/21/20 07:05:50,85
11,Build Tiny Houses,https://activategood.org/opportunity/5224,07/21/20,07/21/20 07:05:50,65
5,Aug 8 Fight Hunger Food Bank,https://activategood.org/opportunity/5163#tab-shifts,08/05/20,08/05/20 07:32:44,41
6,Sort Pack Books,https://activategood.org/opportunity/5239,08/05/20,08/05/20 07:32:44,80
7,Skilled Volunteer  Refrigerator Repair Professional,https://activategood.org/opportunity/5238,08/05/20,08/05/20 07:32:44,23
9,Aug 5 Train Project Leader,https://activategood.org/opportunity/5235,08/05/20,08/05/20 07:32:44,41
9,Social Media Help,https://activategood.org/opportunity/5007#tab-what,01/31/20,01/31/20 06:51:12,23
11,Program Data Evaluation,https://activategood.org/opportunity/4990#tab-what,01/31/20,01/31/20 06:51:12,21
12,Special Olympics Intern,https://activategood.org/opportunity/4948#tab-what,01/31/20,01/31/20 06:51:12,21
13,Office Assistant,https://activategood.org/opportunity/4992#tab-what,01/31/20,01/31/20 06:51:12,27
14,School Tour Volunteer,https://activategood.org/opportunity/4995#tab-what,01/31/20,01/31/20 06:51:12,21
15,Garden Day,https://activategood.org/opportunity/4987#tab-what,01/31/20,01/31/20 06:51:12,30
16,Dress Success Sale,https://activategood.org/opportunity/5030#tab-what,01/31/20,01/31/20 06:51:12,32
17,Black History Festival,https://activategood.org/opportunity/5031#tab-what,01/31/20,01/31/20 06:51:12,33
13,Deliver  ,https://activategood.org/opportunity/5397,11/18/20,11/18/20 12:47:35,63
14,Build Nature Trails,https://activategood.org/opportunity/5331,11/18/20,11/18/20 12:47:35,41
16,LAST CALL Help Family Volunteer Day,https://activategood.org/opportunity/5374,11/18/20,11/18/20 12:47:35,44
18,﻿Sign HERE,https://activategood.org/opportunity/5400,11/18/20,11/18/20 12:47:35,42
11,Medical Interpreter,https://activategood.org/opportunity/2327#tab-what,03/04/19,03/04/19 07:03:41,1
13,Robotics Demo Clinic,https://activategood.org/opportunity/2656#tab-what,03/04/19,03/04/19 07:03:41,9
14,Silent Auction Assistance,https://activategood.org/opportunity/4218#tab-what,03/04/19,03/04/19 07:03:41,8
15,Backpack Buddies Packers,https://activategood.org/opportunity/4365#tab-what,03/04/19,03/04/19 07:03:41,29
16,Community Service Farm,https://activategood.org/opportunity/3329#tab-what,03/04/19,03/04/19 07:03:41,14
17,Tree Giveaway NC Museum Natural Sciences,https://activategood.org/opportunity/2447#tab-details,03/04/19,03/04/19 07:03:41,18
18,Raleigh St Patrick Day Parade,https://activategood.org/opportunity/4408#tab-what,03/04/19,03/04/19 07:03:41,13
19,Trail Days Ledge Creek,https://activategood.org/opportunity/4405#tab-what,03/04/19,03/04/19 07:03:41,6
11,Pack  Sort Donations Food Bank,https://activategood.org/opportunity/5163,06/05/20,06/05/20 07:50:35,51
17,HOBY Seminar,https://activategood.org/opportunity/4571#tab-what,06/04/19,06/04/19 07:32:06,11
18,Warehouse Assistance,https://activategood.org/opportunity/4511#tab-what,06/04/19,06/04/19 07:32:06,10
19,Recycle Coordinator,https://activategood.org/opportunity/4437#tab-what,06/04/19,06/04/19 07:32:06,7
22,New Mini Farm,https://activategood.org/opportunity/3329#tab-what,06/04/19,06/04/19 07:32:06,6
23,YMCA 175th Anniversary,https://activategood.org/opportunity/4578#tab-what,06/04/19,06/04/19 07:32:06,13
24,Live  Local Spring Fest,https://activategood.org/opportunity/4572#tab-what,06/04/19,06/04/19 07:32:06,8
25,Support STEM Education,https://activategood.org/opportunity/4574#tab-what,06/04/19,06/04/19 07:32:06,6
7,Volunteer Director Fundraising,https://activategood.org/opportunity/4890#tab-what,11/01/19,11/01/19 09:30:18,3
8,Business Development Volunteer,https://activategood.org/opportunity/4805#tab-what,11/01/19,11/01/19 09:30:18,9
9,Join SOAR Outreach Board,https://activategood.org/opportunity/4845#tab-what,11/01/19,11/01/19 09:30:18,4
11,Theater Seat Restoration,https://activategood.org/opportunity/4905#tab-what,11/01/19,11/01/19 09:30:18,5
12,Arts  Crafts,https://activategood.org/opportunity/4870#tab-what,11/01/19,11/01/19 09:30:18,13
13,Lunch Delivery,https://activategood.org/opportunity/718#tab-what,11/01/19,11/01/19 09:30:18,21
14,PUPPIES,https://activategood.org/opportunity/4894#tab-what,11/01/19,11/01/19 09:30:18,69
15,Donation Sorting,https://activategood.org/opportunity/4896#tab-what,11/01/19,11/01/19 09:30:18,26
21,Join Activate Good Durham Raleigh Food Bank ,https://activategood.org/opportunity/5208,09/02/20,09/02/20 08:10:54,12
23,﻿Get Out Vote,https://activategood.org/opportunity/5212,09/02/20,09/02/20 08:10:54,24
24,Help Activate Good United We Help Social,https://activategood.org/opportunity/5248,09/02/20,09/02/20 08:10:54,19
8,November 2 Volunteer ALS Fundraising Event,https://activategood.org/opportunity/5368,10/21/20,10/21/20 07:50:37,60
9,Help Administrative Work,https://activategood.org/opportunity/5370,10/21/20,10/21/20 07:50:37,48
11,Build TRLC ,https://activategood.org/opportunity/5331,10/21/20,10/21/20 07:50:37,59
19,Virtual Career Speaker Series,https://activategood.org/opportunity/5154,04/28/20,04/28/20 17:15:43,30
23,Academic Packets Students,https://activategood.org/opportunity/5149,04/28/20,04/28/20 17:15:43,78
16,Wrap Diapers,https://activategood.org/opportunity/5313,10/14/20,10/14/20 06:55:30,62
18,October 19 Deliver Family Essentials Kits,https://activategood.org/opportunity/5315,10/14/20,10/14/20 06:55:30,75
5,Boys Girls Club Sports Assistant,https://activategood.org/opportunity/4869#tab-what,10/08/19,10/08/19 07:00:19,20
6,Event Photographer,https://activategood.org/opportunity/4849#tab-what,10/08/19,10/08/19 07:00:19,33
7,Budgeting Advisor,https://activategood.org/opportunity/4821#tab-what,10/08/19,10/08/19 07:00:19,25
8,Red Cross Blood Delivery,https://activategood.org/opportunity/4867#tab-what,10/08/19,10/08/19 07:00:19,20
9,Dog House Volunteers,https://activategood.org/opportunity/4836#tab-what,10/08/19,10/08/19 07:00:19,91
11,Campus Beautification Day,https://activategood.org/opportunity/4862#tab-what,10/08/19,10/08/19 07:00:19,17
12,AIDS Walk 5K Run,https://activategood.org/opportunity/4853#tab-what,10/08/19,10/08/19 07:00:19,16
13,Holiday Program Prep Salvation Army,https://activategood.org/opportunity/4858#tab-what,10/08/19,10/08/19 07:00:19,57
7,Edit ,https://activategood.org/opportunity/5131,05/20/20,05/20/20 12:43:02,20
3,Share Your Skills,https://activategood.org/opportunity/5146,04/22/20,04/22/20 12:07:49,58
5,Create Art Garden,https://activategood.org/opportunity/5141,04/22/20,04/22/20 12:07:49,40
7,Virtual Create BOOST Videos Academic Concepts,https://activategood.org/opportunity/5233,09/09/20,09/09/20 07:05:10,29
8,Join Activate Good Food Bank Raleigh Durham ,https://activategood.org/opportunity/5207,09/09/20,09/09/20 07:05:10,42
6,Raise Baby Chicks Home,https://activategood.org/opportunity/5135,04/11/20,04/11/20 14:07:37,122
12,Help Feed Hungry Kids,https://activategood.org/opportunity/5398,11/24/20,11/24/20 08:40:16,57
15,Prepare Angel Tree Items Distribution,https://activategood.org/opportunity/5407,11/24/20,11/24/20 08:40:16,69
12,Brighten Someone Day Handmade Card,https://activategood.org/opportunity/5416,12/16/20,12/16/20 07:50:15,53
13,Assemble Kits Preschoolers,https://activategood.org/opportunity/5430,12/16/20,12/16/20 07:50:15,75
8,Develop ,https://activategood.org/opportunity/5155#tab-details,05/13/20,05/13/20 14:08:31,37
9,Use Community Partnerships ,https://activategood.org/opportunity/5155#tab-details,05/13/20,05/13/20 14:08:31,37
8,Teens  Parents Help Package Hygiene Supplies Dignity Week,https://activategood.org/opportunity/5446,12/29/20,12/29/20 07:30:43,86
9,Fight Hunger Food Bank,https://activategood.org/opportunity/5406,12/29/20,12/29/20 07:30:43,42
12,   Sign MLK Day Service ,https://activategood.org/opportunity/5422,12/29/20,12/29/20 07:30:43,55
5,June 6 20 Fight Hunger Food Bank,https://activategood.org/opportunity/5165,05/27/20,05/27/20 14:35:57,59
6,Collect  Donate Garden Tools,https://activategood.org/opportunity/5139,05/27/20,05/27/20 14:35:57,60
9,Fight Hunger Food Bank,https://activategood.org/opportunity/5163,07/29/20,07/29/20 13:30:36,31
11,Aug 15 Pantry Makeover,https://activategood.org/opportunity/5236,07/29/20,07/29/20 13:30:36,26
15,Aug 5 Train Project Leader,https://activategood.org/opportunity/5235,07/29/20,07/29/20 13:30:36,23
16,Review   ,https://activategood.org/opportunity/5235#tab-details,07/29/20,07/29/20 13:30:36,29
4,Volunteers   ,https://activategood.org/opportunity/5333,09/30/20,09/30/20 07:41:44,315
5,REGISTER ,https://activategood.org/opportunity/5333,09/30/20,09/30/20 07:41:44,315
11, Conducting Family Essentials Kits,https://activategood.org/opportunity/5356,11/11/20,11/11/20 06:51:31,49
12, Raleigh Durham,https://activategood.org/opportunity/5334#tab-what,11/11/20,11/11/20 06:51:31,38
14, Bagging Thanksgiving TABLE Carrboro,https://activategood.org/opportunity/5355,11/11/20,11/11/20 06:51:31,37
31,Internship Opportunity,https://activategood.org/opportunity/5395,11/11/20,11/11/20 06:51:31,41
32,Sign ,https://activategood.org/opportunity/5374,11/11/20,11/11/20 06:51:31,26
14,Supply Drive Boys  Girls Clubs,https://activategood.org/opportunity/5123,05/05/20,05/05/20 08:40:17,34
15,Research Grants Donations,https://activategood.org/opportunity/5103#tab-what,05/05/20,05/05/20 08:40:17,27
17,Courage Cards Teens,https://activategood.org/opportunity/4146,05/05/20,05/05/20 08:40:17,33
8,Cabinet Sales Habitat Restore,https://activategood.org/opportunity/4375#tab-what,02/01/19,02/01/19 07:21:36,6
9,After School Art Teacher,https://activategood.org/opportunity/4357#tab-details,02/01/19,02/01/19 07:21:36,10
11,Help Durham Teachers School Supplies,https://activategood.org/opportunity/4374#tab-details,02/01/19,02/01/19 07:21:36,7
12,Backpack Buddies Packers,https://activategood.org/opportunity/4365#tab-what,02/01/19,02/01/19 07:21:36,42
13,Communities Schools Tutor,https://activategood.org/opportunity/4340#tab-details,02/01/19,02/01/19 07:21:36,8
14,Childcare Families Moving Forward,https://activategood.org/opportunity/4380#tab-what,02/01/19,02/01/19 07:21:36,12
15,NC Art Museum Park Workday,https://activategood.org/opportunity/4372#tab-shifts,02/01/19,02/01/19 07:21:36,17
16,Workday Durham Hub Farm,https://activategood.org/opportunity/4343#tab-what,02/01/19,02/01/19 07:21:36,10
5,July 1 8 Pack  Sort Donations Food Bank,https://activategood.org/opportunity/5163,07/01/20,07/01/20 06:51:53,42
6,July 11 Prep Super Duper Duck Splash,https://activategood.org/opportunity/5195,07/01/20,07/01/20 06:51:53,36
7,Update Client Info Database,https://activategood.org/opportunity/5199,07/01/20,07/01/20 06:51:53,24
