word,wcount,total
Train,169,1146
King,52,411
Delivery,41,630
Artsplosure,7,136
Teacher,17,350
HOBY,11,147
Sciences,18,239
175th,13,147
12,26,405
Seat,5,254
Splash,36,671
Dog,195,2400
Olympics,41,786
Winter,171,1130
Safe,42,287
Women,24,623
Seniors,293,2672
Contribute,46,604
Will,128,2683
Interest,92,371
Awareness,170,2232
Assistance,64,797
July,120,3771
Families,205,2801
Looking,78,404
You,153,1009
Challenges,70,284
Introducing,50,411
Year,18,331
Run,16,376
Develop,46,421
6,195,5307
Brighten,53,1115
Seminar,11,147
Interpreter,1,559
Earlier,26,134
Workdays,59,527
Night,5,175
Director,3,254
Budgeting,25,376
Isolated,243,2309
Bank,394,4725
Club,54,1013
Dress,98,538
68,40,2683
Packers,71,414
Anniversary,13,147
2019,26,311
Out,28,872
PUPPIES,69,254
Volunteer,2751,30739
Miracle,10,227
Farm,40,785
April,202,447
Concepts,29,843
﻿It,68,2526
Activate,727,10046
Bike,17,224
The,418,5260
Only,13,812
Volunteering,136,1882
Mask,249,2998
Internship,41,429
Stage,38,163
Help,805,9373
Collect,132,2467
ReStore,31,527
Sports,20,376
40000,18,626
OPEN,66,254
December,31,2544
Recycle,21,371
Teen,387,2907
Front,8,208
Remote,390,3985
2020,276,5060
Initiative,123,4650
Items,118,1042
23,66,254
Career,30,545
Greeter,8,208
Wake,53,1284
Create,205,2583
Girls,54,1013
Nov,272,3129
Professional,23,817
Kits,396,3196
Hungry,213,1117
Natural,18,239
Stay,25,1785
Needs,318,13707
Wiki,84,604
26,96,2340
ALL,245,13701
OPERATION,386,772
Opportunity,41,429
﻿,903,16108
Skilled,23,817
AIDS,16,376
Support,56,3926
Crafts,13,254
Grant,86,864
After,10,175
Storytime,58,167
Event,260,3453
Boys,54,1013
Sale﻿,68,2526
Museum,35,414
﻿Get,24,214
Client,24,600
Victory,59,163
Butterfly,82,772
Events,49,720
Edit,20,231
Volunteers,440,1745
1721,6,147
Operation,1018,5487
Blood,20,376
Holiday,299,2969
Grocery,25,227
﻿Update,43,600
Dignity,86,331
Sorting,78,1057
200,40,2683
Legal,4,227
Super,36,671
–,38,2544
Basketball,12,227
Essentials,321,2865
Cross,20,376
Form,92,371
Smile,57,173
Please,95,2526
Instructors,12,227
POP,214,1799
Sound,3,208
Feeders,82,772
TABLE,59,1220
ALS,69,493
Shelter,131,1514
Local,8,147
NC,68,641
Interceptor,3,175
Write,235,3520
Coordinator,21,371
Childcare,19,350
2021,32,2948
100,221,2944
Read,286,1863
Dietition,5,136
List,351,953
Housing,30,411
End,9,208
Workday,86,877
7000,49,1042
Prepare,69,1042
Supply,285,2059
Salvation,78,603
COVID19,111,2346
STEM,6,147
Sales,6,175
Wildwoods,6,175
Knowledge,4,227
Check,887,5130
Tools,60,457
Golf,40,704
Conducting,49,429
Ambassadors,33,543
Beautify,6,208
REMOTE,109,1115
Arts,20,390
Garden,287,2979
Beautification,17,376
Black,33,375
Therapeutic,43,363
Meet,19,404
Choose,205,2787
Stock,78,535
Tree,87,1281
September,46,1531
911,168,1565
Post,3,344
Chicks,122,772
﻿Sign,120,4030
Research,124,1468
Homelessness,196,2759
Set,30,189
Current,202,447
Complete,22,1129
Administrative,48,285
Pet,60,134
Days,81,2155
Donations,120,2814
Groceries,25,136
19,624,7633
Signs,489,3656
Work,207,5345
Committee,21,411
Home,318,3531
Tournament,61,1108
Now,94,3673
Updates,38,543
Pantry,122,1472
Movers,14,189
Urgent,66,2357
Change,246,1939
